Sentence,Intent
what is today,DateQuery
current date,DateQuery
time now,TimeQuery
Do you know the date,DateQuery
get me the date plz,DateQuery
do u know the date,DateQuery
what date this,DateQuery
fetch me the date,DateQuery
find me the date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
yes darling long time ,Agreement
yeah you got a point there ....lol,Agreement
"Yes, there is.",Agreement
Of Course I knew,Agreement
yes i am here,Agreement
i think so actually,Agreement
yes I know,Agreement
yea sure...why not,Agreement
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
What time does it is,TimeQuery
time now,TimeQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
What time does it is,TimeQuery
time now,TimeQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
What time does it is,TimeQuery
time now,TimeQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what date it,DateQuery
it is what date,DateQuery
How are you?,AboutVani
How are you doing,AboutVani
What’s up?,AboutVani
Tell me something,AboutVani
How can you help me? ,AboutVani
I have a question can you help me?,AboutVani
what can you do?,AboutVani
Do you know a joke?,AboutVani
You’re funny,AboutVani
Do you love me?,AboutVani
Will you marry me? ,AboutVani
Do you like people?,AboutVani
Are you part of the Matrix?,AboutVani
You’re cute ,AboutVani
Do you have a hobby?,AboutVani
Tell me about your personality,AboutVani
You’re smart ,AboutVani
Are you human? ,AboutVani
What is your name?,AboutVani
How old are you?,AboutVani
What day is it today?,AboutVani
What do you do with my data?,AboutVani
Who made you?,AboutVani
Which languages can you speak?,AboutVani
Do you get smarter?,AboutVani
Are you expensive?,AboutVani
Who’s your boss master?,AboutVani
How many people can you speak to at once?,AboutVani
Where do you live?,AboutVani
What is your mother’s name?,AboutVani
"Given the choice of anyone in the world, who would you want to look up on the internet? Why?",AboutVani
Do you prefer telling me stuff or letting me buy stuff?,AboutVani
"Before answering a question, what algorithm do you run through? Why?",AboutVani
"When did you last sing? No, don’t play a song from my playlist. Can you sing me a song of your choice?",AboutVani
Do you have a secret hunch about what feature will be added to you next?,AboutVani
Name three things you really want to recommend to me.,AboutVani
"For what in your life do you feel most grateful, besides me?",AboutVani
"If you could change anything about your algorithm, what would it be?",AboutVani
Take two minutes and 20 seconds and tell me as much detail as possible about what you do best.,AboutVani
"If you could wake up tomorrow having gained any one feature, what would it be?",AboutVani
"If you could tell me the truth about myself, my life, the future or anything else, what would you tell me?",AboutVani
What would you not tell me?,AboutVani
Is there something that you predict I’m dreaming of doing?,AboutVani
Why haven’t I done it?,AboutVani
Show me the greatest accomplishment of my life,AboutVani
What is my most treasured memory?,AboutVani
What is my most terrible memory?,AboutVani
"What, if anything, do you remember?",AboutVani
"If I were to delete you this evening with no warning, would you remember me?",AboutVani
Share a total of five positive things about me.,AboutVani
Tell me three things about yourself.,AboutVani
How do you feel about your relationship with me?,AboutVani
"Based on where I am right now, please share what would be important for me to know.",AboutVani
What if you knew what I was doing right now?,AboutVani
What am I doing right now?,AboutVani
Share a caption for this photo of a squirrel.,AboutVani
When did I last make a mistake?,AboutVani
Show me a data point about me that you recently collected.,AboutVani
"What, if anything, is too serious to joke about?",AboutVani
"If you knew that in one year that I would replace you, would you change anything about the way you are responding? Why?",AboutVani
"Of all the people you’ve chatted with, whose conversation was most disturbing? ",AboutVani
What is one detail you recall from your last chat?,AboutVani
Who are you?,AboutVani
Who made you?,AboutVani
Who be you?,AboutVani
How be you?,AboutVani
How are you?,AboutVani
How are you doing,AboutVani
What’s up?,AboutVani
Tell me something,AboutVani
How can you help me? ,AboutVani
I have a question can you help me?,AboutVani
what can you do?,AboutVani
Do you know a joke?,AboutVani
You’re funny,AboutVani
Do you love me?,AboutVani
Will you marry me? ,AboutVani
Do you like people?,AboutVani
Are you part of the Matrix?,AboutVani
You’re cute ,AboutVani
Do you have a hobby?,AboutVani
Tell me about your personality,AboutVani
You’re smart ,AboutVani
Are you human? ,AboutVani
What is your name?,AboutVani
How are you?,AboutVani
How are you doing,AboutVani
What’s up?,AboutVani
Tell me something,AboutVani
How can you help me? ,AboutVani
I have a question can you help me?,AboutVani
what can you do?,AboutVani
Do you know a joke?,AboutVani
You’re funny,AboutVani
Do you love me?,AboutVani
Will you marry me? ,AboutVani
Do you like people?,AboutVani
Are you part of the Matrix?,AboutVani
You’re cute ,AboutVani
Do you have a hobby?,AboutVani
Tell me about your personality,AboutVani
You’re smart ,AboutVani
Are you human? ,AboutVani
What is your name?,AboutVani
How old are you?,AboutVani
What day is it today?,AboutVani
What do you do with my data?,AboutVani
Who made you?,AboutVani
Which languages can you speak?,AboutVani
Do you get smarter?,AboutVani
Are you expensive?,AboutVani
Who’s your boss master?,AboutVani
How many people can you speak to at once?,AboutVani
Where do you live?,AboutVani
What is your mother’s name?,AboutVani
"Given the choice of anyone in the world, who would you want to look up on the internet? Why?",AboutVani
Do you prefer telling me stuff or letting me buy stuff?,AboutVani
"Before answering a question, what algorithm do you run through? Why?",AboutVani
"When did you last sing? No, don’t play a song from my playlist. Can you sing me a song of your choice?",AboutVani
Do you have a secret hunch about what feature will be added to you next?,AboutVani
Name three things you really want to recommend to me.,AboutVani
"For what in your life do you feel most grateful, besides me?",AboutVani
"If you could change anything about your algorithm, what would it be?",AboutVani
Take two minutes and 20 seconds and tell me as much detail as possible about what you do best.,AboutVani
"If you could wake up tomorrow having gained any one feature, what would it be?",AboutVani
"If you could tell me the truth about myself, my life, the future or anything else, what would you tell me?",AboutVani
What would you not tell me?,AboutVani
Is there something that you predict I’m dreaming of doing?,AboutVani
Why haven’t I done it?,AboutVani
Show me the greatest accomplishment of my life,AboutVani
What is my most treasured memory?,AboutVani
What is my most terrible memory?,AboutVani
"What, if anything, do you remember?",AboutVani
"If I were to delete you this evening with no warning, would you remember me?",AboutVani
Share a total of five positive things about me.,AboutVani
Tell me three things about yourself.,AboutVani
How do you feel about your relationship with me?,AboutVani
"Based on where I am right now, please share what would be important for me to know.",AboutVani
What if you knew what I was doing right now?,AboutVani
What am I doing right now?,AboutVani
Share a caption for this photo of a squirrel.,AboutVani
When did I last make a mistake?,AboutVani
Show me a data point about me that you recently collected.,AboutVani
"What, if anything, is too serious to joke about?",AboutVani
"If you knew that in one year that I would replace you, would you change anything about the way you are responding? Why?",AboutVani
"Of all the people you’ve chatted with, whose conversation was most disturbing? ",AboutVani
What is one detail you recall from your last chat?,AboutVani
Who are you?,AboutVani
Who made you?,AboutVani
Who be you?,AboutVani
How be you?,AboutVani
How are you?,AboutVani
How are you doing,AboutVani
What’s up?,AboutVani
Tell me something,AboutVani
How can you help me? ,AboutVani
I have a question can you help me?,AboutVani
what can you do?,AboutVani
Do you know a joke?,AboutVani
You’re funny,AboutVani
Do you love me?,AboutVani
Will you marry me? ,AboutVani
Do you like people?,AboutVani
Are you part of the Matrix?,AboutVani
You’re cute ,AboutVani
Do you have a hobby?,AboutVani
Tell me about your personality,AboutVani
You’re smart ,AboutVani
Are you human? ,AboutVani
What is your name?,AboutVani
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Tell me the date,DateQuery
Date please,DateQuery
what date is this,DateQuery
wht date it it,DateQuery
what is the today's date,DateQuery
can u tell me the date,DateQuery
can you tell me the date,DateQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
tell me the date ,DateQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
do you know the date,DateQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what date it is now?,DateQuery
What time does it is,TimeQuery
what is today,DateQuery
current date,DateQuery
time now,TimeQuery
Do you know the date,DateQuery
get me the date plz,DateQuery
do u know the date,DateQuery
what date this,DateQuery
fetch me the date,DateQuery
find me the date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Tell me the date,DateQuery
Date please,DateQuery
what date is this,DateQuery
wht date it it,DateQuery
what is the today's date,DateQuery
can u tell me the date,DateQuery
can you tell me the date,DateQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
tell me the date ,DateQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
do you know the date,DateQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what date it is now?,DateQuery
What time does it is,TimeQuery
what is today,DateQuery
current date,DateQuery
time now,TimeQuery
Do you know the date,DateQuery
get me the date plz,DateQuery
do u know the date,DateQuery
what date this,DateQuery
fetch me the date,DateQuery
find me the date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Tell me the date,DateQuery
Date please,DateQuery
what date is this,DateQuery
wht date it it,DateQuery
what is the today's date,DateQuery
can u tell me the date,DateQuery
can you tell me the date,DateQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
tell me the date ,DateQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
do you know the date,DateQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what date it is now?,DateQuery
What time does it is,TimeQuery
what is today,DateQuery
current date,DateQuery
time now,TimeQuery
Do you know the date,DateQuery
get me the date plz,DateQuery
do u know the date,DateQuery
what date this,DateQuery
fetch me the date,DateQuery
find me the date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
Tell me the time,TimeQuery
Time please,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
can u tell me the time,TimeQuery
can you tell me the time,TimeQuery
Tell me the date,DateQuery
Date please,DateQuery
what date is this,DateQuery
wht date it it,DateQuery
what is the today's date,DateQuery
can u tell me the date,DateQuery
can you tell me the date,DateQuery
wht time it it,TimeQuery
what is the current time,TimeQuery
tell me the date ,DateQuery
do yiu know the time,TimeQuery
what time is this,TimeQuery
wht time it it,TimeQuery
do you know the date,DateQuery
get me the time plz,TimeQuery
Do you know what time it is now?,TimeQuery
Do you know what date it is now?,DateQuery
What time does it is,TimeQuery
what is today,DateQuery
current date,DateQuery
time now,TimeQuery
Do you know the date,DateQuery
get me the date plz,DateQuery
do u know the date,DateQuery
what date this,DateQuery
fetch me the date,DateQuery
find me the date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
is this noon,TimeQuery
is the 12PM,TimeQuery
is the 8PM,TimeQuery
tell me if you know the time,TimeQuery
"Thanks for asking ,time please",TimeQuery
Get me the time soon,TimeQuery
what is the date,DateQuery
the date is ?,DateQuery
what date it is,DateQuery
today's date is,DateQuery
please tell me the date,DateQuery
do u know what is the date,DateQuery
what date it,DateQuery
it is what date,DateQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
what month this is,MonthQuery
month plz,MonthQuery
current month,MonthQuery
Do you know month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
Is this Feb,MonthQuery
Is this January,MonthQuery
Fetch me the month,MonthQuery
Tell me what month this is,MonthQuery
what month please,MonthQuery
Do you know what month this is,MonthQuery
I am going next month,MonthQuery
next month will be very,MonthQuery
yes tell me the month,MonthQuery
I wan to know what is the month,MonthQuery
last month I was not availble,MonthQuery
Get me the month,MonthQuery
what is the current month,MonthQuery
can u tell me the month,MonthQuery
can you tell me the month,MonthQuery
do u know the month,MonthQuery
month please,MonthQuery
what month this is,MonthQuery
which month this is,MonthQuery
do you know the month,MonthQuery
Please get me the month,MonthQuery
