Sentence_Type,Class_Type,,,
"
i'm gonna use an upgrade coupon which is coming Federal Express tomorrow or Wednesday",statement,,,
"
it's a 50 percent refund less 5 pounds admin charge",statement,,,
"
they're just",statement,,,
"
the round trip would be that times 2 plus 13 for taxes",statement,,,
"
i want to make sure you get the pr... the right B",statement,,,
"
and that's departing at 7:35 from Charlotte",statement,,,
"
the dates times and seat numbers are printed on the tickets for you",statement,,,
"
and i talked to C  D  again  about going from Hong Kong to Moscow",statement,,,
"
 it's 26 05 or something is it",statement,,,
"
this is for B C's trip",statement,,,
"
and that's your Standard Open",statement,,,
"
i think  i think it usually is because normally i've travelled",statement,,,
"
i need the surname of the credit card holder please",statement,,,
"
it's all right",statement,,,
"
it looks like approximately right",statement,,,
"
7:50 is the last flight out",statement,,,
"
it's Continental 8 2 4 on the 28th of July",statement,,,
"
and this will be at the fare of",statement,,,
"
it's 0 of 2000",statement,,,
"
and that's for Monday the 5th now",statement,,,
"
if you have to cancel however",statement,,,
"
it's pretty expensive i think",statement,,,
"
and you need to take your credit card with you",statement,,,
"
the Saturday which is the 3rd i think",statement,,,
"
 that's booked for you",statement,,,
"
otherwise i'd be i'd be routing you through um through Los Angeles",statement,,,
"
that's a little cruel",statement,,,
make 'em pay,command,,,
"
 if you miss that",statement,,,
"
there is one definitly 10 to 6",statement,,,
"
i can get you uh a still a non-refundable fare",statement,,,
"
there's a 10 a m flight out of San Francisc that connects fairly well with that",statement,,,
"
ge... are there any direct flights at all",question,,,
"
we've got you on American flight 9 3 0 8",statement,,,
"
i'd like to make a reserv... some reservations please",statement,,,
"
then it's  as in",statement,,,
"
but it's not as usually as good as taking the uh the penalty fare",statement,,,
"
we don't have yet either",statement,,,
"
 that's the best available that i can get",statement,,,
 remember,command,,,
"
if i ask you to be there for 60 minutes before departure time on the day of travel",statement,,,
"
what do you mean",question,,,
"
what about the 15:20",question,,,
"
you get the railcard discount which works out to 19 pounds 80",statement,,,
"
what's the name of that",question,,,
"
we should know sometime this afternoon",statement,,,
"
the 26th",statement,,,
"
i guess that's it",statement,,,
"
 and the ticket will be waiting there with your supplement as well",statement,,,
"
i have an appointment Monday afternoon at San Bernadino",statement,,,
"
the Super Saver is not valid at that time in the morning",statement,,,
"
put me on the American flight",command,,,
"
that's all right",statement,,,
"
what i need to do is have someone go from Orange County to Lake Tahoe",statement,,,
"
so if you've got a little extra time or something um",statement,,,
"
this is to Tokyo",statement,,,
"
what time did you come back",question,,,
"
did you want to repeat that number back to me",question,,,
"
cos i mucked up the last one i did",statement,,,
"
hang on",command,,,
"
let's go for it",command,,,
"
there is not any Virgin Value fares the entire day",statement,,,
"
it's  for   for    for   for    for   for    for   for",statement,,,
"
if he's willing to take it with a penalty",statement,,,
"
that does  that sounds low",statement,,,
"
i can do it right now actually uh",statement,,,
"
we'll be picking him up",statement,,,
"
what would be the normal direct connection from that 4:38",question,,,
"
that is that is the discounted fare then",statement,,,
"
the only other option i have would be a Cathay Pacific flight",statement,,,
"
this is your reference number your tickets have been booked under",statement,,,
"
the August 1st 10:30",statement,,,
"
when i got it reissued",statement,,,
"
we could try building our own connection  but",statement,,,
"
we'll keep that the same",statement,,,
"
the departure time is 9 o'clock on Friday",statement,,,
"
do you know what his seating preference would be for that",question,,,
"
if you have",statement,,,
"
you arrive in Birmingham New Street for 12:50",statement,,,
"
 cos then i'd know what train i was taking down there",statement,,,
"
 it's a full refund less 5 pounds",statement,,,
"
and the  fare on this is a 198 dollars",statement,,,
"
what time would you like to depart tomorrow",question,,,
"
this is B",statement,,,
let's  try the suggestion about going to Helsinki,command,,,
"
but i need to know i... if the cheap ones are still ones are still available for Saturday",statement,,,
"
but that's the only way that you'd be leaving at night",statement,,,
"
what day's he returning",question,,,
"
and um that was the Holiday Inn in Palo Alto",statement,,,
see C O D,command,,,
"
for whom",question,,,
"
 have they had a price increase",question,,,
"
that would be row nine seat number five",statement,,,
"
i think i'm going to do the 1 p m thing",statement,,,
"
let me  go ahead and take care of it and get seat assignments",command,,,
"
that leaves at 4:50",statement,,,
"
you must stick to the outward train",statement,,,
"
the appointment's going to be right near Orange County",statement,,,
"
it was just the non-refundable had to be issued within 24 hours",statement,,,
"
and what time do you need to be in San Bernadino by",question,,,
"
that's a Super Advance Return at 30 pounds",statement,,,
and let me get him his seat assignments,command,,,
"
there's nothing really that gets in that early",statement,,,
"
that's a fully changeable ticket also",statement,,,
"
what's that number then",question,,,
"
it's the last week of June",statement,,,
"
i ne... i need to know the dates days  of the week",statement,,,
"
i'm not there",statement,,,
"
and this is for personal travel",statement,,,
"
is that the same day",question,,,
"
i can't",statement,,,
"
and confirm the address for me please",command,,,
"
does he have one",question,,,
"
i was",statement,,,
"
 and that'll be 27 pounds return",statement,,,
"
but i think we picked this one because um he could get the business traveller  uh seating",statement,,,
let's go for it,command,,,
"
because you sh... should have a new ticket",statement,,,
"
the full coach",statement,,,
"
it'd have to be at 7 o'clock",statement,,,
let me,command,,,
"
how you doing",statement,,,
"
 not the Tuesday",statement,,,
"
that would be where we'd have to ask for",statement,,,
"
and that would be non-stop",statement,,,
"
and um NNN will give you a call on Monday when they're both uh ready to be picked up",statement,,,
"
and um i need one more thing",statement,,,
"
when i last did that",statement,,,
"
you'd leave here Thursday",statement,,,
"
it's a new one i think",statement,,,
"
the earlier trains are all booked up now",statement,,,
"
the trains run from Euston on the hour",statement,,,
"
and i want to take whatever red eye or any other flight that i have to take to get there in time to make that transfer",statement,,,
"
and American goes through Chicago",statement,,,
"
does that change uh the cost",question,,,
"
it's 2 1 2 0",statement,,,
"
it leaves Orlando at 4:30",statement,,,
"
the 17th",statement,,,
"
if you have open return",statement,,,
"
i don't think he wanted to to spend 29 each way to be committed to it",statement,,,
"
i'm just double checking",statement,,,
"
and i guess",statement,,,
"
that's thir... 13:03",statement,,,
"
is this for a new reservation",question,,,
"
i want to ask you something else",statement,,,
"
next one is simple from   SFO to Washington DC and return",statement,,,
"
these are all American",statement,,,
"
you can't leave that ticket open",statement,,,
"
you could conceivably get in earlier",statement,,,
"
some of them are blo... blacked out for restrictions or like  or whatever",statement,,,
"
that's  a walk-on fare  whether or not you might not manage to get on that particular train",statement,,,
"
that that's fine",statement,,,
"
it goes that way",statement,,,
"
it's just subject to whatever the new fare is",statement,,,
"
that would get him there like a quarter to 7",statement,,,
keep me where i am then,command,,,
"
do you have to be there on uh Sunday mo... Sunday night or Monday morning",question,,,
"
it's 8 hours isn't it",statement,,,
let me pull up the profile for him,command,,,
"
that's based on a 7 day advanced purchase or 418 round trip also 25 percent penalty",statement,,,
"
that's not good news",statement,,,
"
that seems about the right time",statement,,,
"
it's er",statement,,,
"
this is C with American Express",statement,,,
"
and then you go into San Francisco",statement,,,
"
  for what",question,,,
"
t... the buses that we've put on is specifically for  connecting with the trains",statement,,,
"
all i have to do is give you the coupon",statement,,,
"
this is for Mr C",statement,,,
"
do you hold a current credit card or debit card",question,,,
"
the only the only way you're going",statement,,,
"
and and he wanted to go similar times",statement,,,
"
they have fare of 68 round trip",statement,,,
"
and i need to make a change",statement,,,
"
there's no other conditions in terms of a...",statement,,,
"
it shouldn't be ba... too bad traffic-wise",statement,,,
"
 i've already booked out one",statement,,,
"
or there's a United at 7:45",statement,,,
"
you would need to buy a Saver Return",statement,,,
"
this is your reference number to which your 4 tickets are being booked under",statement,,,
"
let me get that fare",command,,,
"
we'll be going to Denver Colorado this time",statement,,,
"
there's a train at 14:30 from Manchester Picadilly",statement,,,
"
excuse me",command,,,
then let me pull up the flight,command,,,
do what you can,command,,,
"
they have'em at the travel office",statement,,,
"
i'll pay the extra money",statement,,,
"
and what date you'd like to travel out on",question,,,
"
take the 7 o'clock a m American flight",command,,,
"
 5:25 departing",statement,,,
"
if he he he should at least arrive 20 minutes before the flight",statement,,,
"
i thought thought you'd",statement,,,
"
let me just get that down ok",command,,,
"
it's just on the sales voucher",statement,,,
"
is it Saturday the 3rd  of October you're  travelling",question,,,
"
and i could print out an itinerary for you",statement,,,
"
or let me check this one more time",command,,,
"
and i think they each live fairly close to here",statement,,,
"
because the Delta flight would price lower than the uh Continental he had been booked on",statement,,,
"
you can do so",statement,,,
"
i think",statement,,,
"
that's  correct",statement,,,
"
this is something out of the ordinary now",statement,,,
"
he's going to Washington",statement,,,
"
it can't either",statement,,,
"
if it can't be San J...",statement,,,
"
there's not any allocation earlier on  at the times that you want for the Virgin Value fare",statement,,,
"
it could be ok",statement,,,
"
 do you have a railcard at all",question,,,
"
and the 2 weeks will be what",statement,,,
"
they're both in  the middle of the morning",statement,,,
"
i'd like to find out",statement,,,
"
but if you're travelling on a weekday Monday to Friday",statement,,,
"
but when would you prefer",question,,,
"
what's the latest you can cancel",question,,,
"
there's there's a United",statement,,,
"
cos that's  it's",statement,,,
tell me this,command,,,
"
the lowest require a confirmed return",statement,,,
let me request seating on that one,command,,,
"
what's the choice",question,,,
"
are those train times ok then",question,,,
"
that's the 8th of October",statement,,,
"
the only train you can use your railcard with a Super Advance is on the 20:13 in the evening",statement,,,
"
i'll give you thi...",statement,,,
"
there's no non-stops",statement,,,
"
this man travels so much though",statement,,,
"
and we'll go ahead and set that up for reticket",statement,,,
"
and that's a forward facing seat in non-smoking",statement,,,
"
it's from Saint Louis right",statement,,,
"
there is one at what time on Thursday afternoon",statement,,,
"
so i'd have to a full price ticket would i  for Sunday",statement,,,
"
what's the first name on F H F  and J G",question,,,
"
i'll have E call",statement,,,
"
we have 87",statement,,,
"
it's 6 9 3 7",statement,,,
"
what i'm saying is that uh  the next possibility would be Hong Kong to Bangkok to Heathrow to Moscow",statement,,,
"
put this in the correct order",command,,,
"
are they",question,,,
"
there are other flights",statement,,,
"
that's on the 12th of May",statement,,,
"
you could take the same 6:40 flight",statement,,,
"
then i think that'd be appropriate",statement,,,
"
how long's the journey",question,,,
"
if a fare if the computer's telling us that it's going to go higher",statement,,,
"
that's the Virgin Value fare",statement,,,
"
is that correct",question,,,
"
we could get it down to a 124 dollars round trip",statement,,,
"
his travel advance is",statement,,,
"
is it 2 weeks on Friday",question,,,
"
if you hold on",statement,,,
"
he wouldn't make his flight",statement,,,
"
what mean then what",statement,,,
"
that sounds more like it",statement,,,
"
i think they give really good service",statement,,,
"
 i'm just going to reserve your seat just now",statement,,,
"
that's personal",statement,,,
"
Fairbanks would be the closest for it",statement,,,
"
i i suspect that uh i suspect the uh 5 o'clock is ok",statement,,,
"
i've got that",statement,,,
"
i think Monday's fine",statement,,,
"
and what date does he want to travel",question,,,
"
if he takes the limousine",statement,,,
"
or i can provisionally book it and arrange for you to collect the tickets at the train station as long as you are a credit or debit card holder",statement,,,
"
then you returning on Sunday 4th of October",statement,,,
"
they have been booked up",statement,,,
"
it has to be the the person who collects the tickets that signs for",statement,,,
"
if it's not back within an hour",statement,,,
"
it's non-stop from San Francisco to Tokyo",statement,,,
"
and the 2",statement,,,
"
and if you have to cancel this ticket",statement,,,
"
 you can leave that open",statement,,,
"
it says reservations for CC and his wife and",statement,,,
"
we can put him on US Air 2 9 5 4",statement,,,
"
a... a... and this is for the morning",statement,,,
"
that is a one-stop flight",statement,,,
"
it's Barclays Connect Visa card",statement,,,
let me take all that down anyway,command,,,
"
then i'll put them in 30 C and 30 or er 30 D",statement,,,
"
that is the same price",statement,,,
"
the 4th",statement,,,
"
so what i'll want to do is um probably not leave Seattle until about 8:30 or so",statement,,,
"
if you did want to change any of the times of the travel",statement,,,
"
there is no penalty attached to the conference rate",statement,,,
"
it goes to Charlotte North Carolina as a connection city",statement,,,
"
the US Air's got less seats available than the United",statement,,,
l... l... let's book it through uh San Francisco,command,,,
"
and  what time of day",question,,,
"
is it Wrexham Central or General",question,,,
"
can you give me some fares to some strange places",question,,,
"
and if and if you just want me to verify",statement,,,
"
 then the bus is departing at 23:30",statement,,,
"
it's erm Fanshawe Cottage",statement,,,
"
and uh what can i help you with",question,,,
"
he made me feel like there had to be some other options besides going through Heathrow",statement,,,
"
are we booking",question,,,
"
it's two flight numbers",statement,,,
"
i would have to keep him on the same fl... airline coming back as i sent him out on",statement,,,
"
and the last name is C",statement,,,
"
there is one on United that leaves Oakland at 11:30 p m and arrives Chicago 5:25 a m",statement,,,
"
that's lovely then",statement,,,
"
you can't go from Euston to Macclesfield then Wilmslow to Euston",statement,,,
"
this is tough isn't it",statement,,,
"
i think they then have another one at",statement,,,
"
can you just tell me",question,,,
"
he's not",statement,,,
"
or i leave on Saturday night",statement,,,
"
 we won't know if it's",statement,,,
"
hang on just a sec",command,,,
"
if the 6:20 flight was available",statement,,,
"
call us back when you're ready",command,,,
"
you're able to get the next available service",statement,,,
"
and once again it's non-smoking",statement,,,
"
Friday's always bad",statement,,,
"
so if there was any problems with connections",statement,,,
"
give me the times for the non-stop",command,,,
"
it's a debit card",statement,,,
"
and um i've i've made a couple of bookings um with Holiday Inn on the on the on the free phone line",statement,,,
"
if you just bear with me",statement,,,
let me see the table on Tuesday,command,,,
"
we've got him on Piedmont flight f... 11:54",statement,,,
"
we have flights starting at 6:15 a m",statement,,,
let me check to see if um we still have that old record,command,,,
"
that would probably be all right",statement,,,
"
or or we're still waiting",statement,,,
let me just pull up a profile,command,,,
"
i'd like to make a couple of arrangements",statement,,,
"
you can extend it two years",statement,,,
"
and that is 99 dollars one way",statement,,,
"
it has to be the credit card holder that collects the tickets from the train station",statement,,,
"
but that would be",statement,,,
"
let me confirm that for you",command,,,
"
what time tomorrow",question,,,
"
but it's classed as two  Singles",statement,,,
"
75 pounds will be debited  from that account",statement,,,
"
it's Piedmont flight   45 35",statement,,,
let me give you that,command,,,
"
and also there has to be some other airlines too uh that are flying into Moscow besides",statement,,,
"
 you're not able to get the Super Advance",statement,,,
"
then the round trip fare is 11 62",statement,,,
"
it's 98 round trip",statement,,,
"
cos em what i might do is just take it to Wrexham Central",statement,,,
"
and then you're going to return from Chicago on the fourteen or",statement,,,
"
the very best fare i can get you is 138 dollars uh on... round trip",statement,,,
"
when would you be returning",question,,,
"
i need H first",statement,,,
"
can i can i change the the start to  came from Stockport to  Euston  and then from Euston to Stockport please",question,,,
"
that sounds good to me",statement,,,
"
 is that right",question,,,
"
is that",question,,,
"
 i might come back in a week's time you know",statement,,,
"
the 7 a m from Derby",statement,,,
"
and if you miss the service that i have booked you on",statement,,,
"
i don't want to run out of time",statement,,,
"
so i have to see what the lowest fares returning are too",statement,,,
"
let me let me pull up his profile  first",command,,,
"
and the date you wanted to go to Los Angeles is",statement,,,
let me pull that up,command,,,
"
whose extension should i have them call to um come pick up the itinerary",statement,,,
"
i'm sorry",statement,,,
"
the same itinerary",statement,,,
"
i'm sure we'll find that for you",statement,,,
"
it's DDD D D D",statement,,,
"
the train departs at  12:22   on  Saturday",statement,,,
"
i'll remember this one",statement,,,
"
 it's just getting out of work on time but",statement,,,
"
 wha... why",question,,,
"
i don't",statement,,,
"
i'm too old now",statement,,,
"
 the last train in the evening is the 20:35",statement,,,
"
then he's   finding his way to the check out window etcetera",statement,,,
"
and i am wondering now if we can we add another leg to that uh",statement,,,
"
and he is um",statement,,,
"
is the credit card got a specific name on the card",question,,,
"
then the outward service tomorrow in 8:34 arrives at London 11:15",statement,,,
and book ahead because the th... the Tokyo flights sell out weeks in advance if you can,command,,,
"
it's still the 15:55",statement,,,
"
just the address",statement,,,
and uh let's see,command,,,
"
 is that the same thing",question,,,
"
you arrive in Birmingham New Street at 15:42",statement,,,
"
 they told me 20 pounds",statement,,,
"
i want er two tickets to er from er Leicester to Newton Abbot",statement,,,
"
how about um if we do it Thursday of next week or we...",question,,,
"
i get 1589",statement,,,
 and just confirm the rest of the address please,command,,,
"
you can't get the 19:00",statement,,,
"
if if i'm",statement,,,
"
it's 0 5 6 5",statement,,,
"
the only  the only no-stop would have to be out of La Guardia",statement,,,
"
when could i",question,,,
"
what airline is this",question,,,
"
let me um just go ahead and book this United flight",command,,,
"
there's a 7:55 Piedmont that goes through Baltimore as a connecting city and gets into Richmond at 10:29",statement,,,
"
it's the best available",statement,,,
"
if he needs that",statement,,,
"
i'm booking from Euston to Birmingham New Street",statement,,,
"
 and it's extension 1 0 5 9",statement,,,
"
that might do for me",statement,,,
"
 it's i've got it",statement,,,
"
and then they're they're probably going to say 5:30 they're going to pick him up",statement,,,
"
they've changed their flight number",statement,,,
"
 that's going to be the cheapest fare to you",statement,,,
"
the cheapest fare is 14 pounds for the Virgin Value fare each",statement,,,
"
and i want to go on United via Chicago",statement,,,
"
and you must book that by 6 o'clock the day before travel",statement,,,
"
we would like on Monday",statement,,,
"
then it's the 14:52 from Crewe",statement,,,
"
now that we've got all that",statement,,,
"
i could get you a low airfare",statement,,,
"
 he was",statement,,,
"
but it's in case there was any queue",statement,,,
"
you'll be travelling at 12:21 from Newton Abbot",statement,,,
"
and it's just for one",statement,,,
"
are you only going one way or do you have transportation returning",question,,,
"
and then we need a hotel to stay in in Richmond",statement,,,
"
then there's a connecting service from Wrexham General 15:26 to arrive in Wrexham Central at 15:29",statement,,,
let me look at the bottom for the credit card,command,,,
"
then you depart Birmingham New Street at 16:06 to arrive in Leicester at 17:01",statement,,,
"
which one",question,,,
"
it it's it's er the 10th of er 98",statement,,,
"
and if we go",statement,,,
"
i've been giving you quick numbers here",statement,,,
"
i'll provisionally book you on the one returning",statement,,,
"
do you want me to book that ticket for you",question,,,
"
so if he needs to know that or",statement,,,
"
and what i would like to do is to get a room at the Marriot in Newark Airport",statement,,,
"
that's the one on Blossom Street",statement,,,
"
it's non-penalty",statement,,,
"
 what's the next fare for erm",question,,,
"
that's US Air 2 9 0 8",statement,,,
"
which is",statement,,,
"
how much is",question,,,
"
you don't have to book the the next leg in advance or anything like that do  you",statement,,,
"
there is a Piedmont flight at 1:35 through Charlotte North Carolina",statement,,,
"
you always have to change",statement,,,
"
this is B C at WWW",statement,,,
"
i... it it just got",statement,,,
"
21:00 gets me into what Wilmslow at what time",statement,,,
let's get uh two options in here,command,,,
"
the train going out on Saturday the trains run at 8 minutes to the hour",statement,,,
"
i i'll just you know book the US Air",statement,,,
"
 you must stick to the dates and the times that you book",statement,,,
"
cos it takes them about a half hour to get to the airport",statement,,,
"
and then uh what we'll have to do is get their  get them to call us",statement,,,
"
 what what have you got",question,,,
"
because there was a 25 percent penalty on that",statement,,,
"
that's uh uh uh",statement,,,
let me get this right,command,,,
"
we need to",statement,,,
"
there's no actual name  printed on the ticket",statement,,,
"
could i travel erm front facing  please",question,,,
"
what's the one earlier than the 20:13",question,,,
"
who's this",question,,,
"
let me look there",command,,,
"
i i i tell the guy you can do any a...",statement,,,
"
Friday's going to be the 21",statement,,,
"
but if you re... miss the train on the return journey",statement,,,
"
would that just on a one way fare",question,,,
"
you  haven't got a you haven't got a rear facing",statement,,,
"
 and that's going to be the Virgin Value Single at 7 pounds",statement,,,
"
this is just all one way travel",statement,,,
"
i just want you to understand that",statement,,,
confirm that address for me please,command,,,
"
in the middle of the night would be acceptable to me anytime",statement,,,
"
if they have one at 6:15",statement,,,
"
the next non-stop is going to be",statement,,,
"
 cos i mean i might have to end up booking the other people's tickets as well",statement,,,
let me just see here,command,,,
"
it's 05",statement,,,
hang on just a sec,command,,,
"
cos i'm i'm only visiting here um",statement,,,
"
i guess the first question i had was uh are there flights from San Diego to the Ontario airport in uh in LA or outside LA",statement,,,
"
Air Canada has a connection through Toronto that leaves San Francisco at 7:50 a m",statement,,,
"
it's a little important to have enough time   to let me think about that",statement,,,
"
tha... uh i think that's  that's",statement,,,
"
and it has to be 2 or 4 people travelling",statement,,,
"
they might have a six",statement,,,
"
the Business Advance",statement,,,
give me the postcode first of all,command,,,
"
cos it's normal 88",statement,,,
"
if i change the return",statement,,,
"
i'm showing economy on Pan Am is open",statement,,,
"
i'm just thinking the convenience of the traveller",statement,,,
"
cos that was on a Wednesday",statement,,,
"
now it's called Virgin Value Business",statement,,,
let me see if there's something later here,command,,,
"
let me pull up the",command,,,
"
stick to the date and  time that you book",command,,,
"
that's a on...",statement,,,
"
you can get your... any snacks tea and coffee beverages",statement,,,
"
and it was",statement,,,
"
if that's the best  we can do",statement,,,
"
i uh wanted to check to see if it was possible to reput me back on that 2 2 9 flight",statement,,,
"
that's just American",statement,,,
"
oh that's right",statement,,,
"
it's 10 to the hour",statement,,,
let's see what Lufthansa's fare quote says,command,,,
"
and that's forward facing seats",statement,,,
"
 see",command,,,
"
but then that's 200 dollars more than this non-refundable",statement,,,
"
is there a train from Liverpool",question,,,
"
is United going to penalize me",question,,,
"
so i'll have someone call you as soon as they're ready to be picked up",statement,,,
let me get your profile,command,,,
"
i'd like to make some reservations please",statement,,,
let me check where Wild Wood is here,command,,,
"
and we want to go ahead with the 258 dollar fare that  has the 25",statement,,,
"
United has a 9:47 connection through Chicago",statement,,,
"
 me friends are going up",statement,,,
"
i could get you on a 4:38 United out of Vancouver",statement,,,
"
they don't have any discounts without a Saturday night stay",statement,,,
"
and how early would you like to get to the airport",question,,,
"
i'll get them for you",statement,,,
"
when",question,,,
"
 you never know",statement,,,
"
what type would he prefer for United the flight out",question,,,
"
how are you today",question,,,
"
i'm planning a trip to Japan at the end of uh the beginning of July",statement,,,
"
is it was a table you'd prefer",question,,,
"
if you wanted to change the time of that travel",statement,,,
"
i'm up on Delta as a non-stop at 7:40",statement,,,
"
it looks like there are two American Airlines flights out of San Jose",statement,,,
"
it's not going to be on either of those carriers",statement,,,
"
 you are very k...",statement,,,
"
it is sold out",statement,,,
"
i'll do it that way",statement,,,
let me just  start a new reservation for him,command,,,
"
do",command,,,
"
 it's either the 22:45 train in the evening   available",statement,,,
"
do i just purchase it for that day for those days   and travel any time",question,,,
"
and the total cost is 50 pounds 50",statement,,,
"
 this is your reference number your tickets have been booked under",statement,,,
"
let me just confirm that and give you the round trip fare",command,,,
"
i had an... one other question",statement,,,
"
i really prefer to go the middle seat non-smoking",statement,,,
"
the fare does go up",statement,,,
"
and what time would you like to depart from  Leicester",question,,,
"
39 pounds 50 will be debited from that account",statement,,,
"
is this going to be put on a credit card",question,,,
"
just hold the line",command,,,
"
there are no penalties for cancellation if changes are made",statement,,,
"
and let me give you all the flight information too",command,,,
"
is that",question,,,
and l... let me schedule the 3:31,command,,,
"
that would be uh something in the range of 400 to 410 round trip",statement,,,
"
there are no cancellation or change penalties",statement,,,
"
i want",statement,,,
"
i can verify with you the number",statement,,,
"
can i can mhm",question,,,
"
but it's a different name",statement,,,
"
that was the one we were holding  with the American round trip",statement,,,
"
that's arriving in Birmingham New Street for 15:42",statement,,,
"
it's like an a reduced rate ticket then to your Walk-on fare",statement,,,
"
it was the Holiday Inn in Boston",statement,,,
and let me just see,command,,,
"
i want to know if there's any cheap tickets still available from Euston to Manchester   er",statement,,,
and confirm that address for me please,command,,,
"
and is it standard class",question,,,
"
 the cheapest fare that i can offer you at that time is the Virgin Value Business at 75 pounds",statement,,,
"
it connects to CP Air flight 7 2 2",statement,,,
"
and San Jose is a little better market for going into Las Vegas than San Francisco is",statement,,,
"
you said by the lowest fare available you",statement,,,
"
could i",question,,,
"
i don't think i'll get to seat them together on that",statement,,,
"
do you take Diner's or American Express or anything like that",question,,,
"
i'm not bothered by that",statement,,,
let me get that fare,command,,,
"
let me request seating on that one",command,,,
"
it's 608 plus 20",statement,,,
"
and what about a car or hotel up there",question,,,
"
 the first ticket ticket i checked for was a Virgin Value",statement,,,
"
it's for one",statement,,,
say leaving around uh 5 p m or so,command,,,
"
but just it's a complete new booking",statement,,,
"
if there's a real problem there",statement,,,
"
i'll just i'm sure it's the same",statement,,,
"
otherwise you'll have to call US Air",statement,,,
"
i'm supposed to get an aisle seat for him for both flights",statement,,,
"
i believe there's one leaving at 11 o'clock in the morning",statement,,,
let me find out  ok,command,,,
wait a minute,command,,,
"
 i'm just going to go over the dates  and times",statement,,,
"
that is subject to availability",statement,,,
"
the next later flight's American at 5:20",statement,,,
"
that's interesting",statement,,,
"
if you don't",statement,,,
"
can i be a pain and ask you about Thursday night",question,,,
"
Switch is fine",statement,,,
"
and take your letter of authorisation with you",command,,,
"
cos we're flying together on the 4 o'clock Newark",statement,,,
"
and it's uh it's a room with 3 beds actually",statement,,,
"
it becomes red eye flights",statement,,,
"
i'm wondering if there's any erm seats available on the Super Saver",statement,,,
"
and it's what you'd always be charged as long as you're travelling at the appropriate times",statement,,,
"
all the flights are afternoon",statement,,,
"
that's on Alaska",statement,,,
"
i want to know erm",statement,,,
"
it's   9  0",statement,,,
"
that is a DC 10 correct",statement,,,
"
would it have been cheaper if i had called a couple weeks in advance",question,,,
"
the only thing is that i do need to have the um charge number and the travel advance before we can issue  the ticket today",statement,,,
"
i don't have the complete history in front of me",statement,,,
"
and that's going to get into Birmingham at",statement,,,
"
 and that'll be the 14:50 i think then",statement,,,
"
that would be United f...",statement,,,
"
i don't know",statement,,,
"
let's see the",command,,,
"
is that from San Francisco or San Jose",question,,,
"
you need to take your credit card with you",statement,,,
"
i don't know",statement,,,
"
and what's your last name",question,,,
"
because if you won't",statement,,,
"
we issue so many tickets",statement,,,
"
he's leaving on 6 5",statement,,,
"
is it yourself that is the credit card holder",question,,,
"
you'll need to quote this reference number",statement,,,
"
you mean if the if the the uh wait list clears",statement,,,
"
i'd like this to be processed before 6 if i could",statement,,,
"
call extension",command,,,
"
that's the cheapest",statement,,,
"
 which is an awfully long wait",statement,,,
"
let me just see here",command,,,
"
 and the postcode actually on this is   23 6",statement,,,
"
it's  Avenue",statement,,,
"
when you check in in San Jose before you leave",statement,,,
"
this is what when i ask for for Hong Kong",statement,,,
let me guess,command,,,
"
that's great",statement,,,
"
what date is it for",question,,,
